window property,deny usage,allow usage,note
alert,x,,
atob,,x,
blur,x,,
btoa,,x,
caches,x,,"legitimate, but confusing, common name variable"
cancelAnimationFrame,,x,
cancelIdleCallback,,x,
captureEvents,x,,"deprecated, behavior disabled from browsers"
clearInterval,,x,
clearTimeout,,x,
clientInformation,x,,alias for navigator
close,x,,
closed,x,,
confirm,x,,
createImageBitmap,x,,
crossOriginIsolated,x,,
crypto,,x,
customElements,x,,
devicePixelRatio,x,,
document,,x,
dump,x,,
event,x,,
external,x,,
fetch,,x,
find,x,,
focus,x,,
frameElement,x,,
frames,x,,
fullScreen,x,,
getComputedStyle,x,,
getDefaultComputedStyle,x,,
getSelection,x,,prefer use from document
history,x,,
indexedDB,,x,
innerHeight,x,,
innerWidth,x,,
InstallTrigger,x,,very old deprecated
isSecureContext,x,,could be confusing
length,x,,use window.frames instead
localStorage,,x,
location,x,,"unsure, legitimate usage for location, but may be confusing with some react router"
locationbar,x,,
matchMedia,x,,
menubar,x,,
messenger,x,,"found no documentation about it, seems to be only on firefox (maybe dev version)"
moveBy,x,,
moveTo,x,,
mozInnerScreenX,x,,use window.screen attributes
mozInnerScreenY,x,,use window.screen attributes
name,x,,
navigator,,x,
open,x,,
opener,x,,
origin,x,,
outerHeight,x,,
outerWidth,x,,
pageXOffset,x,,
pageYOffset,x,,
parent,x,,
performance,,x,
personalbar,x,,
postMessage,x,,
print,x,,
prompt,x,,
queueMicrotask,,x,
releaseEvents,x,,
reportError,,x,
requestAnimationFrame,,x,
requestIdleCallback,,x,
resizeBy,x,,
resizeTo,x,,
screen,x,,
screenLeft,x,,
screenTop,x,,
screenX,x,,
screenY,x,,
scroll,x,,
scrollbars,x,,
scrollBy,x,,
scrollByLines,x,,
scrollByPages,x,,
scrollMaxX,x,,
scrollMaxY,x,,
scrollTo,x,,
scrollX,x,,
scrollY,x,,
self,,x,
sessionStorage,,x,
setInterval,,x,
setResizable,x,,
setTimeout,,x,
speechSynthesis,x,,
status,x,,
statusbar,x,,
stop,x,,
structuredClone,,x,
toolbar,x,,
top,x,,
updateCommands,x,,
visualViewport,x,,
window,,x,
